X,Y,Z,Reflectivity
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
33.256,-0.738,-0.331,1.0
28.653,-0.647,-0.445,1.0
25.382,-0.582,-0.536,1.0
40.308,-0.935,0.259,139.0
40.31,-0.949,0.034,150.0
40.281,-0.963,-0.19,12.0
32.76,-0.795,-0.34,1.0
28.212,-0.695,-0.45,2.0
25.221,-0.631,-0.543,1.0
40.221,-1.017,0.242,38.0
40.998,-1.051,0.018,27.0
40.966,-1.065,-0.21,113.0
32.314,-0.852,-0.348,1.0
28.225,-0.754,-0.462,1.0
24.98,-0.677,-0.548,1.0
40.198,-1.099,0.227,54.0
40.198,-1.114,0.003,67.0
40.18,-1.128,-0.22,28.0
32.007,-0.91,-0.357,1.0
28.013,-0.807,-0.468,2.0
24.812,-0.724,-0.553,1.0
0.0,0.0,0.0,0.0
40.298,-1.201,-0.01,0.0
40.277,-1.214,-0.234,7.0
31.849,-0.972,-0.365,1.0
27.717,-0.856,-0.472,1.0
24.651,-0.77,-0.557,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
41.889,-1.351,-0.256,2.0
31.677,-1.033,-0.372,1.0
27.533,-0.908,-0.477,1.0
24.4,-0.814,-0.558,1.0
0.0,0.0,0.0,0.0
57.732,-1.96,-0.046,0.0
40.677,-1.396,-0.258,0.0
31.308,-1.086,-0.376,1.0
27.352,-0.959,-0.48,1.0
24.321,-0.862,-0.562,1.0
0.0,0.0,0.0,0.0
51.236,-1.845,-0.052,0.0
40.093,-1.458,-0.263,14.0
31.104,-1.142,-0.38,1.0
27.35,-1.014,-0.485,1.0
24.205,-0.906,-0.564,1.0
0.0,0.0,0.0,0.0
40.153,-1.528,-0.048,153.0
37.77,-1.451,-0.254,48.0
30.97,-1.201,-0.383,1.0
27.25,-1.067,-0.488,1.0
24.134,-0.954,-0.566,1.0
0.0,0.0,0.0,0.0
37.804,-1.516,-0.051,69.0
37.766,-1.528,-0.26,48.0
30.889,-1.261,-0.386,1.0
27.191,-1.121,-0.491,2.0
24.045,-1.0,-0.567,1.0
0.0,0.0,0.0,0.0
50.486,-2.128,-0.073,1.0
38.001,-1.616,-0.265,2.0
30.838,-1.323,-0.389,2.0
27.101,-1.172,-0.491,1.0
24.025,-1.048,-0.568,1.0
0.0,0.0,0.0,0.0
50.473,-2.231,-0.077,3.0
37.907,-1.689,-0.267,1.0
30.8,-1.384,-0.39,1.0
27.074,-1.227,-0.492,1.0
24.01,-1.097,-0.569,1.0
0.0,0.0,0.0,0.0
50.484,-2.334,-0.078,1.0
40.169,-1.871,-0.284,0.0
30.671,-1.44,-0.389,1.0
27.093,-1.283,-0.493,1.0
23.948,-1.143,-0.568,1.0
0.0,0.0,0.0,0.0
50.494,-2.437,-0.078,8.0
40.374,-1.964,-0.285,0.0
30.911,-1.515,-0.391,1.0
27.39,-1.353,-0.498,2.0
24.025,-1.195,-0.569,1.0
0.0,0.0,0.0,0.0
50.486,-2.54,-0.076,9.0
0.0,0.0,0.0,0.0
31.067,-1.586,-0.392,1.0
27.452,-1.411,-0.497,3.0
24.07,-1.246,-0.568,7.0
0.0,0.0,0.0,0.0
50.459,-2.64,-0.071,1.0
40.594,-2.138,-0.28,0.0
31.227,-1.656,-0.391,1.0
27.378,-1.463,-0.493,2.0
23.971,-1.289,-0.564,8.0
0.0,0.0,0.0,0.0
50.478,-2.742,-0.065,1.0
40.515,-2.216,-0.275,0.0
31.581,-1.738,-0.391,1.0
27.389,-1.518,-0.489,1.0
24.095,-1.344,-0.563,5.0
0.0,0.0,0.0,0.0
58.324,-3.286,-0.066,2.0
40.693,-2.307,-0.269,0.0
31.779,-1.813,-0.388,1.0
27.512,-1.58,-0.487,1.0
24.196,-1.398,-0.561,4.0
0.0,0.0,0.0,0.0
50.522,-2.945,-0.047,3.0
0.0,0.0,0.0,0.0
32.061,-1.893,-0.385,1.0
27.667,-1.643,-0.484,2.0
24.652,-1.473,-0.566,1.0
0.0,0.0,0.0,0.0
50.509,-3.043,-0.036,1.0
41.452,-2.512,-0.256,0.0
32.209,-1.964,-0.379,1.0
27.899,-1.711,-0.481,2.0
24.787,-1.529,-0.563,1.0
0.0,0.0,0.0,0.0
56.952,-3.542,-0.025,1.0
41.86,-2.618,-0.248,1.0
32.684,-2.056,-0.375,1.0
27.967,-1.769,-0.474,2.0
24.903,-1.584,-0.558,1.0
0.0,0.0,0.0,0.0
62.245,-3.989,-0.009,1.0
0.0,0.0,0.0,0.0
32.908,-2.132,-0.367,1.0
28.281,-1.843,-0.47,1.0
25.072,-1.643,-0.554,1.0
0.0,0.0,0.0,0.0
62.18,-4.105,0.011,2.0
0.0,0.0,0.0,0.0
33.582,-2.241,-0.363,1.0
28.653,-1.922,-0.466,1.0
25.332,-1.709,-0.551,1.0
0.0,0.0,0.0,0.0
62.125,-4.218,0.034,3.0
0.0,0.0,0.0,0.0
34.182,-2.345,-0.357,1.0
29.016,-2.001,-0.461,1.0
25.5,-1.768,-0.544,1.0
0.0,0.0,0.0,0.0
61.954,-4.323,0.06,4.0
45.006,-3.156,-0.201,0.0
35.024,-2.468,-0.351,1.0
29.198,-2.068,-0.451,1.0
25.722,-1.831,-0.538,1.0
0.0,0.0,0.0,0.0
61.284,-4.389,0.086,4.0
0.0,0.0,0.0,0.0
35.392,-2.559,-0.338,0.0
29.472,-2.142,-0.442,1.0
26.02,-1.9,-0.532,1.0
0.0,0.0,0.0,0.0
61.931,-4.549,0.117,2.0
50.403,-3.719,-0.178,0.0
37.07,-2.748,-0.336,0.0
29.72,-2.213,-0.431,1.0
26.287,-1.967,-0.524,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
50.337,-3.804,-0.152,1.0
0.0,0.0,0.0,0.0
30.269,-2.308,-0.423,1.0
26.54,-2.033,-0.515,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
50.442,-3.901,-0.124,4.0
40.152,-3.119,-0.321,0.0
30.954,-2.415,-0.415,1.0
26.801,-2.1,-0.505,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
50.433,-3.988,-0.096,5.0
40.689,-3.231,-0.302,0.0
31.615,-2.521,-0.406,1.0
27.392,-2.193,-0.5,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
50.518,-4.081,-0.065,2.0
0.0,0.0,0.0,0.0
32.452,-2.643,-0.396,1.0
27.97,-2.287,-0.493,1.0
126.077,-10.317,1.282,2.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
41.858,-3.465,-0.257,0.0
32.976,-2.741,-0.381,1.0
28.438,-2.373,-0.483,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
34.357,-2.912,-0.374,0.0
28.892,-2.458,-0.471,1.0
121.751,-10.364,1.403,150.0
91.754,-7.839,0.561,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
36.476,-3.15,-0.371,0.0
29.45,-2.553,-0.459,1.0
121.72,-10.558,1.489,79.0
97.887,-8.52,0.67,4.0
0.0,0.0,0.0,0.0
50.396,-4.418,-0.203,1.0
0.0,0.0,0.0,0.0
29.967,-2.645,-0.444,1.0
109.899,-9.708,1.429,6.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
50.438,-4.5,-0.165,7.0
37.714,-3.376,-0.327,0.0
31.088,-2.792,-0.437,9.0
108.732,-9.772,1.497,35.0
108.882,-9.817,0.913,5.0
0.0,0.0,0.0,0.0
50.426,-4.576,-0.125,8.0
0.0,0.0,0.0,0.0
31.493,-2.877,-0.417,1.0
108.594,-9.923,1.583,58.0
109.043,-9.996,1.002,2.0
0.0,0.0,0.0,0.0
50.348,-4.644,-0.084,0.0
41.511,-3.841,-0.293,0.0
32.483,-3.015,-0.404,0.0
108.527,-10.077,1.671,37.0
108.63,-10.117,1.088,39.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
33.937,-3.199,-0.393,1.0
101.97,-9.615,1.658,1.0
100.807,-9.533,1.097,2.0
91.009,-8.631,0.501,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
34.514,-3.303,-0.369,0.0
0.0,0.0,0.0,0.0
100.641,-9.661,1.185,2.0
91.132,-8.772,0.584,3.0
0.0,0.0,0.0,0.0
50.275,-4.867,-0.223,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
