Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.8607612,8.1324568,0.28702152,-0.063595369,70.610001,1.9,23.07,35.38,1.0,0.0,0.0,0.0
2.8625791,8.1341209,0.28798848,0.0,70.610001,1.91,27.49,39.79,1.0,0.0,0.0,0.0
2.8640516,0.45427176,0.28932056,0.063595369,70.599998,1.92,22.87,35.42,1.0,0.0,0.0,0.0
3.262202,1.4390256,-0.49448702,0.0,7.9200001,-8.5299997,25.93,36.35,1.0,0.0,0.0,0.0
3.2639832,0.72049445,-0.31748384,0.0,23.790001,-5.0799999,24.85,34.39,1.0,0.0,0.0,0.0
4.0019321,0.77769983,-0.49611619,0.0,10.2,-6.9499998,24.94,36.08,1.0,0.0,0.0,0.0
4.2560048,0.77277654,-0.5046441,-0.063595369,10.35,-6.6500001,22.32,33.46,1.0,0.0,0.0,0.0
4.2571058,0.77494949,-0.51488614,0.063595369,10.28,-6.7800002,22.44,33.58,1.0,0.0,0.0,0.0
4.2572203,-13.95982,-0.50768363,0.0,10.31,-6.6900001,26.75,37.89,1.0,0.0,0.0,0.0
5.7656527,0.43077391,-0.46469098,0.0,-67.550003,-1.76,19.77,33.91,1.0,0.0,0.0,0.0
6.1330113,0.43081734,-0.46633181,0.063595369,4.0100002,-4.3299999,25.08,36.84,1.0,0.0,0.0,0.0
6.1334724,0.43004987,-0.46563235,0.0,4.0100002,-4.3299999,29.56,41.32,1.0,47.0,0.0,0.0
6.1337037,0.43897,-0.46523491,-0.063595369,4.0100002,-4.3200002,25.48,36.94,1.0,0.0,0.0,0.0
6.3007908,0.43968195,-0.50120127,-0.063595369,3.98,-4.5300002,35.01,45.8,1.0,55.0,0.0,0.0
6.3011131,0.44007292,-0.50422007,0.0,3.99,-4.5599999,39.08,50.22,1.0,100.0,0.0,0.0
6.3013716,0.98927033,-0.5061841,0.063595369,3.99,-4.5799999,34.3,45.76,1.0,36.0,0.0,0.0
6.3854499,0.9900052,-0.25855529,-0.063595369,8.8000002,-2.29,36.62,47.41,1.0,66.0,0.0,0.0
6.3856878,0.99060798,-0.25991771,0.0,8.8100004,-2.3,41.06,51.85,1.0,100.0,0.0,0.0
6.3860149,1.0263143,-0.26159173,0.063595369,8.8100004,-2.3099999,36.62,47.42,1.0,53.0,0.0,0.0
6.5609045,1.0261133,-0.28211421,0.063595369,8.8900003,-2.4300001,36.25,46.66,1.0,27.0,0.0,0.0
6.5609455,1.0259905,-0.28006425,0.0,8.8800001,-2.4100001,40.68,51.09,1.0,100.0,0.0,0.0
6.561235,-10.550622,-0.27808857,-0.063595369,8.8800001,-2.3900001,35.86,46.65,1.0,44.0,0.0,0.0
6.7263961,-10.545794,-0.32096696,-0.063595369,-57.48,-1.46,18.07,30.62,1.0,0.0,0.0,0.0
6.7385459,-10.540071,-0.32108375,0.0,-57.419998,-1.46,22.79,35.1,1.0,0.0,0.0,0.0
6.7492132,1.3822547,-0.32066342,0.063595369,-57.360001,-1.46,18.54,30.84,1.0,0.0,0.0,0.0
7.1421828,1.3839033,0.27077988,-0.12719074,10.95,2.1300001,27.2,38.66,1.0,0.0,0.0,0.0
7.1425686,1.3839033,0.25049809,0.12719074,10.96,1.97,26.59,38.63,1.0,0.0,0.0,0.0
7.142735,1.383383,0.26333526,-0.063595369,10.96,2.0699999,42.76,54.22,1.0,70.0,0.0,0.0
7.1428156,1.3834809,0.26115531,0.0,10.96,2.05,46.9,58.66,1.0,100.0,0.0,0.0
7.1428833,1.3834928,0.25910169,0.063595369,10.96,2.03,42.19,54.24,1.0,71.0,0.0,0.0
7.1724057,1.3987668,0.29714316,-0.063595369,11.03,2.3199999,43.15,54.91,1.0,87.0,0.0,0.0
7.172411,1.3992417,0.2819581,0.12719074,11.03,2.2,26.97,39.27,1.0,0.0,0.0,0.0
7.1724873,1.3987991,0.30431357,-0.12719074,11.03,2.3800001,27.58,39.34,1.0,0.0,0.0,0.0
7.1725359,1.3987926,0.29410577,0.0,11.03,2.3,47.58,59.35,1.0,100.0,0.0,0.0
7.1726341,1.3988196,0.29077116,0.063595369,11.03,2.27,42.61,54.92,1.0,86.0,0.0,0.0
7.9832096,3.7593567,-0.1851733,-0.063595369,25.209999,-1.2,23.42,35.97,1.0,0.0,0.0,0.0
7.9852614,3.7595401,-0.18844241,0.063595369,25.209999,-1.22,23.35,36.14,1.0,0.0,0.0,0.0
8.1445646,3.8378677,-0.12163293,0.0,25.23,-0.76999998,26.56,38.87,1.0,0.0,0.0,0.0
8.144886,3.8372636,-0.12366616,0.063595369,25.219999,-0.77999997,21.99,34.54,1.0,0.0,0.0,0.0
8.145031,3.8385868,-0.12093176,-0.063595369,25.23,-0.75999999,22.08,34.38,1.0,0.0,0.0,0.0
8.4437923,3.9296553,-0.12558903,0.0,24.950001,-0.76999998,23.75,35.79,1.0,0.0,0.0,0.0
9.8908319,5.4414597,-0.079983264,0.0,28.809999,-0.40000001,22.93,35.48,1.0,0.0,0.0,0.0
9.9622612,1.0483869,-0.095313974,0.063595369,6.0,-0.54000002,35.75,48.05,1.0,60.0,0.0,0.0
9.962348,1.0483557,-0.090562217,0.0,6.0,-0.50999999,40.17,52.47,1.0,74.0,0.0,0.0
9.9624081,1.048573,-0.085956134,-0.063595369,6.0,-0.49000001,35.71,48.01,1.0,57.0,0.0,0.0
10.06445,1.0629591,-0.079811707,0.12719074,6.02,-0.44999999,29.75,43.17,1.0,49.0,0.0,0.0
10.064512,1.0633646,-0.073985033,0.063595369,6.0300002,-0.41,45.39,58.81,1.0,87.0,0.0,0.0
10.064571,1.0634072,-0.070839606,0.0,6.0300002,-0.40000001,50.02,63.24,1.0,100.0,0.0,0.0
10.064629,1.0634875,-0.067882009,-0.063595369,6.0300002,-0.38,45.77,58.78,1.0,87.0,0.0,0.0
10.064632,1.0638822,-0.065148987,-0.12719074,6.0300002,-0.36000001,30.11,43.12,1.0,13.0,0.0,0.0
10.086729,1.0635197,-0.071040019,0.063595369,6.0100002,-0.40000001,43.88,57.31,1.0,74.0,0.0,0.0
10.08674,1.0637119,-0.067955203,0.0,6.0100002,-0.38,48.72,61.73,1.0,100.0,0.0,0.0
10.086767,1.0638254,-0.065161325,-0.063595369,6.02,-0.36000001,44.49,57.28,1.0,73.0,0.0,0.0
10.087264,1.0622579,-0.07649222,0.12719074,6.0100002,-0.43000001,28.25,41.67,1.0,0.0,0.0,0.0
10.087292,1.0641817,-0.06363152,-0.12719074,6.02,-0.34999999,29.08,41.63,1.0,0.0,0.0,0.0
10.19933,1.3483828,-0.042215619,-0.063595369,7.5300002,-0.23,30.55,43.34,1.0,17.0,0.0,0.0
10.199693,1.3456697,-0.044606399,0.0,7.5100002,-0.23999999,35.01,47.8,1.0,61.0,0.0,0.0
10.200206,1.3419942,-0.052955665,0.063595369,7.4899998,-0.28999999,30.59,43.38,1.0,0.0,0.0,0.0
10.22985,1.092364,-0.059008364,0.0,6.0900002,-0.31999999,35.01,47.8,1.0,61.0,0.0,0.0
10.229865,1.0922153,-0.056610733,-0.063595369,6.0900002,-0.31,30.55,43.34,1.0,17.0,0.0,0.0
10.230176,1.0898086,-0.061293811,0.063595369,6.0799999,-0.34,30.59,43.38,1.0,0.0,0.0,0.0
10.447033,1.2796465,-0.85017627,0.063595369,6.98,-4.6100001,22.01,34.32,1.0,0.0,0.0,0.0
10.448687,1.2742963,-0.8448633,-0.063595369,6.9499998,-4.5799999,21.88,34.18,1.0,0.0,0.0,0.0
10.453099,1.2775079,-0.77100623,0.0,6.96,-4.1799998,26.34,38.65,1.0,0.0,0.0,0.0
11.45987,5.5641136,-0.03666741,0.063595369,25.889999,-0.16,20.73,32.77,1.0,0.0,0.0,0.0
11.463172,5.5608325,-0.029577095,0.0,25.870001,-0.13,25.26,37.02,1.0,0.0,0.0,0.0
11.464658,5.5576301,-0.025617741,-0.063595369,25.860001,-0.11,20.79,32.55,1.0,0.0,0.0,0.0
13.334016,0.94652784,-0.27980003,0.0,4.0599999,-1.1900001,30.96,43.97,1.0,0.0,0.0,0.0
13.335447,0.9431138,-0.28402925,0.063595369,4.04,-1.21,26.5,39.51,1.0,0.0,0.0,0.0
13.703109,1.4386263,0.99417871,-0.063595369,5.9899998,4.1199999,26.87,39.88,1.0,6.0,0.0,0.0
13.704762,1.4366652,0.9847405,0.063595369,5.98,4.0799999,27.11,39.9,1.0,5.0,0.0,0.0
13.864819,1.2287052,1.1056229,-0.12719074,5.0599999,4.54,21.7,35.32,1.0,0.0,0.0,0.0
13.866141,1.2266501,1.080327,0.12719074,5.0500002,4.4299998,21.98,35.4,1.0,0.0,0.0,0.0
13.867404,1.228102,1.0907996,0.0,5.0599999,4.48,41.71,55.32,1.0,100.0,0.0,0.0
