timestamps,index
1734363161.02545,2
1734363161.1001,20119
1734363161.2,47712
1734363161.3,75396
1734363161.40015,101839
1734363161.5001,129589
1734363161.6002,155762
1734363161.70015,183541
1734363161.8002,209794
1734363161.90025,237465
1734363162.0002,263533
1734363162.1002,291491
1734363162.20025,317454
1734363162.30025,345426
1734363162.4002,371406
1734363162.50015,399348
1734363162.60025,425533
1734363162.7,453475
1734363162.80025,479649
1734363162.90025,507602
1734363163.00015,533581
1734363163.10025,561531
1734363163.2,587521
1734363163.30025,615483
1734363163.40025,641551
1734363163.5002,669248
1734363163.60025,695499
1734363163.7,723363
1734363163.8003,749628
1734363163.90025,777400
1734363164.0002,803474
1734363164.10025,831359
1734363164.2,857348
1734363164.30025,885129
1734363164.40005,911753
1734363164.5002,938812
1734363164.60025,966595
1734363164.7,992594
1734363164.80025,1020467
1734363164.9002,1046446
1734363165.00025,1074240
1734363165.1002,1100129
1734363165.2,1127631
1734363165.3002,1153717
1734363165.40015,1181395
1734363165.50025,1207566
1734363165.6,1235254
1734363165.7,1261335
1734363165.8,1289015
1734363165.9,1315006
1734363166.00005,1342787
1734363166.10005,1368774
1734363166.2,1396562
1734363166.30005,1422735
1734363166.40005,1450595
1734363166.5001,1476779
1734363166.60005,1504553
1734363166.70015,1530637
1734363166.8001,1558247
1734363166.9001,1584232
1734363167.00015,1611916
1734363167.1001,1637915
1734363167.2,1665688
1734363167.30015,1691860
1734363167.4001,1719554
1734363167.5002,1745540
1734363167.60015,1773315
1734363167.7,1799670
1734363167.8002,1827096
1734363167.90005,1854684
1734363168.00015,1880780
1734363168.1001,1908456
1734363168.2,1934444
1734363168.30015,1962149
1734363168.4001,1988224
1734363168.50025,2016097
1734363168.60025,2042000
1734363168.7,2069863
1734363168.80025,2095947
1734363168.90015,2123736
1734363169.00025,2149812
1734363169.1002,2177494
1734363169.2,2203491
1734363169.30025,2231276
1734363169.4002,2257261
1734363169.50025,2285147
1734363169.6002,2311223
1734363169.7,2338996
1734363169.8002,2365092
1734363169.90015,2392779
1734363170.0002,2418951
1734363170.1002,2446644
1734363170.2,2472720
1734363170.3002,2500589
1734363170.4002,2526588
1734363170.5001,2554459
1734363170.60005,2580438
1734363170.7,2608222
1734363170.8001,2634394
1734363170.9001,2662161
1734363171.0001,2688703
