X,Y,Z,Reflectivity
17.074,-0.721,-0.34,0.0
15.836,-0.666,-0.398,0.0
14.518,-0.607,-0.441,0.0
13.524,-0.563,-0.482,0.0
12.638,-0.523,-0.517,0.0
11.956,-0.493,-0.552,0.0
17.606,-0.722,-0.323,0.0
16.164,-0.659,-0.381,0.0
14.794,-0.6,-0.426,0.0
13.829,-0.558,-0.472,0.0
12.935,-0.519,-0.509,0.0
12.248,-0.489,-0.546,0.0
18.09,-0.719,-0.304,0.0
16.57,-0.655,-0.365,0.0
15.263,-0.6,-0.416,0.0
14.133,-0.552,-0.46,0.0
13.172,-0.512,-0.498,0.0
12.361,-0.477,-0.532,0.0
18.834,-0.724,-0.287,0.0
16.96,-0.648,-0.347,0.0
15.668,-0.595,-0.403,0.0
14.41,-0.544,-0.447,0.0
13.471,-0.505,-0.489,0.0
12.633,-0.471,-0.524,0.0
19.412,-0.72,-0.266,0.0
17.396,-0.641,-0.33,0.0
16.065,-0.588,-0.388,0.0
14.678,-0.534,-0.433,0.0
13.751,-0.497,-0.478,0.0
12.822,-0.46,-0.513,0.0
20.786,-0.742,-0.254,0.0
17.964,-0.637,-0.313,0.0
16.407,-0.578,-0.372,0.0
14.941,-0.522,-0.418,0.0
14.011,-0.486,-0.466,0.0
13.079,-0.451,-0.503,0.0
21.048,-0.721,-0.225,2.0
18.458,-0.628,-0.294,0.0
16.779,-0.566,-0.355,0.0
15.509,-0.52,-0.411,0.0
14.273,-0.475,-0.453,0.0
13.338,-0.44,-0.494,0.0
21.787,-0.715,-0.201,0.0
19.227,-0.626,-0.278,0.0
17.188,-0.555,-0.339,0.0
15.783,-0.506,-0.395,0.0
14.621,-0.465,-0.443,0.0
13.621,-0.429,-0.484,0.0
22.975,-0.72,-0.179,0.0
19.539,-0.607,-0.255,0.0
17.631,-0.543,-0.322,0.0
16.184,-0.494,-0.382,0.0
14.811,-0.448,-0.428,0.0
13.823,-0.415,-0.472,0.0
23.413,-0.698,-0.149,0.0
20.953,-0.619,-0.243,0.0
18.131,-0.53,-0.305,0.0
16.519,-0.479,-0.367,0.0
15.173,-0.436,-0.417,0.0
14.111,-0.402,-0.462,0.0
24.418,-0.69,-0.121,0.0
21.179,-0.593,-0.216,2.0
18.706,-0.519,-0.289,0.0
16.941,-0.465,-0.353,0.0
15.63,-0.425,-0.408,0.0
14.355,-0.386,-0.45,0.0
25.163,-0.671,-0.09,0.0
22.375,-0.591,-0.198,0.0
19.421,-0.507,-0.274,0.0
17.274,-0.447,-0.336,0.0
15.995,-0.409,-0.395,0.0
14.683,-0.371,-0.44,0.0
25.843,-0.648,-0.057,0.0
23.154,-0.574,-0.173,0.0
20.009,-0.49,-0.255,0.0
17.777,-0.431,-0.322,0.0
16.303,-0.39,-0.381,0.0
14.911,-0.353,-0.427,0.0
26.555,-0.622,-0.023,0.0
23.698,-0.548,-0.146,0.0
20.934,-0.479,-0.239,0.0
18.204,-0.411,-0.306,0.0
16.598,-0.37,-0.366,0.0
15.236,-0.335,-0.416,0.0
27.244,-0.593,0.011,0.0
24.447,-0.525,-0.119,0.0
21.82,-0.463,-0.221,0.0
18.654,-0.39,-0.289,0.0
16.939,-0.349,-0.352,0.0
15.647,-0.318,-0.408,0.0
28.431,-0.571,0.047,2.0
24.803,-0.491,-0.089,0.0
22.365,-0.436,-0.198,0.0
19.378,-0.372,-0.276,0.0
17.279,-0.327,-0.337,0.0
15.98,-0.297,-0.396,0.0
11.314,0.819,-0.589,0.0
10.683,0.771,-0.615,0.0
10.151,0.73,-0.64,0.0
9.535,0.684,-0.655,0.0
9.154,0.655,-0.68,0.0
8.733,0.623,-0.697,0.0
11.296,0.8,-0.584,0.0
10.708,0.756,-0.613,0.0
10.172,0.716,-0.638,0.0
9.572,0.671,-0.655,0.0
9.18,0.642,-0.679,0.0
8.763,0.611,-0.696,0.0
11.378,0.787,-0.584,0.0
10.716,0.739,-0.609,0.0
10.155,0.698,-0.633,0.0
9.632,0.66,-0.655,0.0
9.214,0.629,-0.678,0.0
8.784,0.598,-0.695,0.0
11.377,0.769,-0.58,0.0
10.777,0.726,-0.608,0.0
10.268,0.689,-0.636,0.0
9.621,0.643,-0.65,0.0
9.209,0.614,-0.673,0.0
8.789,0.583,-0.691,0.0
11.47,0.756,-0.58,0.0
10.799,0.709,-0.605,0.0
10.199,0.667,-0.627,0.0
9.712,0.633,-0.652,0.0
9.241,0.6,-0.671,0.0
8.816,0.571,-0.689,0.0
11.482,0.738,-0.575,0.0
10.861,0.696,-0.603,0.0
10.241,0.653,-0.625,0.0
9.79,0.622,-0.652,0.0
9.336,0.591,-0.673,0.0
8.9,0.561,-0.691,0.0
11.623,0.728,-0.576,0.0
10.981,0.685,-0.604,0.0
10.342,0.643,-0.626,0.0
9.746,0.603,-0.644,0.0
9.31,0.574,-0.666,0.0
0.0,0.0,0.0,0.0
11.693,0.713,-0.573,0.0
11.073,0.673,-0.603,0.0
10.423,0.631,-0.624,0.0
9.825,0.592,-0.644,0.0
9.382,0.563,-0.666,0.0
9.003,0.538,-0.689,0.0
11.767,0.699,-0.569,0.0
11.124,0.658,-0.599,0.0
10.491,0.618,-0.622,0.0
9.913,0.581,-0.643,0.0
9.458,0.552,-0.665,0.0
8.984,0.522,-0.681,0.0
11.848,0.684,-0.565,0.0
11.11,0.639,-0.591,0.0
10.484,0.6,-0.615,0.0
9.952,0.567,-0.639,0.0
9.479,0.538,-0.661,0.0
9.104,0.514,-0.684,0.0
11.898,0.668,-0.56,0.0
11.212,0.626,-0.589,0.0
10.538,0.586,-0.611,0.0
9.999,0.553,-0.635,0.0
0.0,0.0,0.0,0.0
9.09,0.498,-0.677,0.0
12.034,0.655,-0.557,0.0
11.275,0.611,-0.583,0.0
10.629,0.573,-0.608,0.0
10.128,0.544,-0.635,0.0
9.698,0.518,-0.661,0.0
9.166,0.487,-0.675,0.0
12.136,0.641,-0.553,0.0
11.38,0.598,-0.58,0.0
10.751,0.562,-0.606,0.0
10.166,0.529,-0.63,0.0
9.705,0.503,-0.654,0.0
9.261,0.477,-0.675,0.0
12.201,0.624,-0.546,0.0
11.458,0.583,-0.575,0.0
10.885,0.551,-0.605,0.0
10.232,0.516,-0.625,0.0
9.775,0.49,-0.651,0.0
9.279,0.463,-0.668,0.0
12.373,0.613,-0.543,0.0
11.581,0.571,-0.571,0.0
10.879,0.533,-0.595,0.0
10.353,0.505,-0.624,0.0
9.875,0.479,-0.649,0.0
9.317,0.45,-0.662,0.0
12.443,0.596,-0.535,0.0
11.718,0.559,-0.567,0.0
11.005,0.522,-0.592,0.0
10.433,0.492,-0.619,0.0
0.0,0.0,0.0,0.0
9.423,0.44,-0.661,0.0
12.566,0.582,-0.529,0.0
11.826,0.545,-0.561,0.0
11.087,0.508,-0.586,0.0
10.536,0.48,-0.615,0.0
10.021,0.454,-0.639,0.0
9.531,0.429,-0.66,0.0
12.644,0.565,-0.52,0.0
11.969,0.532,-0.557,0.0
11.252,0.497,-0.584,0.0
10.582,0.465,-0.607,0.0
10.126,0.442,-0.636,0.0
9.591,0.417,-0.654,0.0
12.788,0.551,-0.513,0.0
12.149,0.521,-0.553,0.0
11.401,0.486,-0.58,0.0
10.705,0.453,-0.603,0.0
10.23,0.431,-0.632,0.0
9.604,0.402,-0.645,0.0
13.024,0.541,-0.509,0.0
12.32,0.508,-0.547,0.0
11.559,0.474,-0.576,0.0
10.786,0.439,-0.596,0.0
10.35,0.419,-0.628,0.0
9.769,0.393,-0.645,0.0
13.248,0.529,-0.503,0.0
12.398,0.492,-0.537,0.0
11.703,0.461,-0.57,0.0
10.973,0.43,-0.594,0.0
10.405,0.405,-0.619,0.0
9.958,0.385,-0.646,0.0
13.326,0.511,-0.491,0.0
12.545,0.478,-0.529,0.0
11.826,0.447,-0.562,0.0
11.109,0.417,-0.589,0.0
10.562,0.394,-0.616,0.0
10.0,0.371,-0.637,0.0
13.589,0.499,-0.484,0.0
12.73,0.465,-0.522,0.0
11.997,0.435,-0.556,0.0
11.249,0.405,-0.583,0.0
10.674,0.382,-0.61,0.0
10.132,0.36,-0.633,0.0
13.811,0.486,-0.476,0.0
12.879,0.45,-0.512,0.0
12.135,0.421,-0.548,0.0
11.425,0.394,-0.578,0.0
10.811,0.37,-0.605,0.0
10.275,0.349,-0.63,0.0
14.006,0.472,-0.465,0.0
13.087,0.437,-0.504,0.0
12.383,0.411,-0.543,0.0
11.582,0.381,-0.571,0.0
10.959,0.358,-0.599,0.0
10.396,0.337,-0.624,0.0
14.307,0.46,-0.457,0.0
13.218,0.422,-0.492,0.0
12.466,0.395,-0.531,0.0
11.748,0.369,-0.564,0.0
11.074,0.345,-0.591,0.0
10.481,0.324,-0.615,0.0
14.618,0.448,-0.448,0.0
13.556,0.412,-0.487,0.0
12.665,0.382,-0.523,0.0
11.957,0.358,-0.558,0.0
11.257,0.334,-0.585,0.0
10.616,0.313,-0.609,0.0
14.749,0.43,-0.432,0.0
13.778,0.399,-0.477,0.0
12.865,0.369,-0.513,0.0
12.189,0.347,-0.552,0.0
11.477,0.324,-0.581,0.0
10.784,0.302,-0.603,0.0
15.163,0.421,-0.423,0.0
13.976,0.384,-0.464,0.0
13.132,0.358,-0.506,0.0
12.362,0.334,-0.543,0.0
11.638,0.311,-0.573,0.0
10.931,0.29,-0.596,0.0
15.568,0.409,-0.412,0.0
14.317,0.373,-0.455,0.0
13.391,0.345,-0.497,0.0
12.523,0.32,-0.532,0.0
11.822,0.299,-0.565,0.0
11.127,0.279,-0.591,0.0
15.81,0.393,-0.396,0.0
14.578,0.359,-0.442,0.0
13.538,0.33,-0.482,0.0
12.69,0.306,-0.52,0.0
11.986,0.286,-0.555,0.0
11.309,0.268,-0.583,0.0
16.158,0.379,-0.38,0.0
14.94,0.347,-0.431,0.0
13.84,0.318,-0.472,0.0
12.933,0.294,-0.511,0.0
12.248,0.276,-0.548,0.0
11.477,0.256,-0.575,0.0
34.2,2.314,4.02,27.0
34.222,2.316,3.824,32.0
33.805,2.29,3.582,19.0
54.749,3.711,5.479,11.0
51.961,3.524,4.901,4.0
59.261,4.023,5.248,25.0
34.165,2.332,3.98,23.0
34.103,2.329,3.774,28.0
33.843,2.312,3.55,30.0
65.172,4.456,6.452,8.0
61.062,4.178,5.692,4.0
59.234,4.056,5.181,11.0
34.294,2.361,3.956,22.0
33.95,2.338,3.719,31.0
34.035,2.345,3.532,26.0
65.075,4.486,6.369,20.0
60.989,4.207,5.617,9.0
81.039,5.593,6.997,11.0
34.307,2.38,3.919,21.0
33.879,2.351,3.673,28.0
54.537,3.787,5.596,11.0
48.13,3.343,4.655,17.0
61.03,4.241,5.551,5.0
