Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
0.97609794,-2.8715739,-0.23720349,-0.063595369,-71.220001,-4.4699998,29.22,39.22,1.0,0.0,0.0,0.0
0.97625923,-2.8706954,-0.2383941,0.063595369,-71.220001,-4.4899998,28.87,39.28,1.0,0.0,0.0,0.0
0.97708476,-2.8130081,-0.2380978,0.0,-71.199997,-4.48,33.64,43.64,1.0,0.0,0.0,0.0
1.0627637,-2.8114061,-0.22647855,0.063595369,-69.300003,-4.3000002,26.44,36.85,1.0,0.0,0.0,0.0
1.0639634,-2.8104713,-0.22917341,-0.063595369,-69.269997,-4.3499999,26.79,36.79,1.0,0.0,0.0,0.0
1.0692065,-2.8335557,-0.22830163,0.0,-69.169998,-4.3400002,31.22,41.22,1.0,0.0,0.0,0.0
1.3166358,-2.8292499,-0.26930895,0.063595369,-65.07,-4.9200001,19.19,29.98,1.0,0.0,0.0,0.0
1.3195468,-2.8290224,-0.26817989,0.0,-64.989998,-4.9000001,23.77,34.18,1.0,0.0,0.0,0.0
1.3233024,8.7869463,-0.26700595,-0.063595369,-64.93,-4.8800001,19.82,29.82,1.0,0.0,0.0,0.0
2.9726419,9.3502274,0.20049745,0.0,71.300003,1.23,18.29,30.6,1.0,0.0,0.0,0.0
3.5537698,9.3513317,0.34137744,0.063595369,69.18,1.95,17.89,29.93,1.0,0.0,0.0,0.0
3.5541906,9.3465223,0.34350342,0.0,69.18,1.96,22.24,34.28,1.0,0.0,0.0,0.0
3.56639,9.2377815,0.3438563,-0.063595369,69.110001,1.96,17.61,29.91,1.0,0.0,0.0,0.0
3.5854163,9.2331829,0.35182914,0.0,68.779999,2.03,21.69,33.15,1.0,0.0,0.0,0.0
3.5858219,9.2293797,0.35787982,-0.063595369,68.769997,2.0599999,17.1,28.86,1.0,0.0,0.0,0.0
3.5863371,9.6948528,0.34662917,0.063595369,68.760002,2.0,17.23,28.99,1.0,0.0,0.0,0.0
4.5115852,9.8584967,-0.87459385,0.0,65.040001,-4.6700001,15.16,27.95,1.0,0.0,0.0,0.0
4.6047406,10.455424,-1.0171798,0.0,64.959999,-5.3400002,13.89,26.68,1.0,0.0,0.0,0.0
5.3568902,10.576532,-0.52053124,0.0,62.869999,-2.53,16.61,28.65,1.0,0.0,0.0,0.0
5.3657813,-15.377981,-0.63411456,0.0,63.099998,-3.0599999,15.85,28.63,1.0,0.0,0.0,0.0
16.149208,-15.361437,1.0648339,0.063595369,-43.59,2.73,26.73,42.05,1.0,16.0,0.0,0.0
16.154627,-15.306937,1.0986454,0.0,-43.549999,2.8199999,30.91,46.09,1.0,83.0,0.0,0.0
16.163248,-10.115452,1.1965142,-0.063595369,-43.439999,3.0699999,27.61,42.39,1.0,15.0,0.0,0.0
16.834684,-10.204808,0.12526716,0.0,-31.0,0.36000001,30.67,44.82,1.0,85.0,0.0,0.0
16.858187,-9.20994,0.12514327,0.0,-31.18,0.36000001,26.81,41.28,1.0,20.0,0.0,0.0
17.258894,-9.2099943,0.19806878,-0.063595369,-28.08,0.57999998,18.25,32.56,1.0,0.0,0.0,0.0
17.260258,-9.2099943,0.18330503,0.0,-28.08,0.52999997,22.25,36.73,1.0,0.0,0.0,0.0
17.261522,-9.2062597,0.16855894,0.063595369,-28.07,0.49000001,17.9,32.38,1.0,0.0,0.0,0.0
17.315205,-9.2650433,0.18366657,0.063595369,-28.15,0.52999997,26.1,40.41,1.0,0.0,0.0,0.0
17.316334,-9.2656965,0.19002181,0.0,-28.15,0.55000001,30.67,44.82,1.0,85.0,0.0,0.0
17.318405,-9.2634821,0.20115992,-0.063595369,-28.139999,0.57999998,26.76,40.56,1.0,0.0,0.0,0.0
17.363855,-9.3132973,0.19969159,0.063595369,-28.200001,0.57999998,22.47,36.79,1.0,0.0,0.0,0.0
17.366192,-9.3129368,0.19175957,0.0,-28.200001,0.55000001,26.81,41.28,1.0,20.0,0.0,0.0
18.57789,-7.2683697,0.1850844,0.0,-21.360001,0.52999997,22.16,36.31,1.0,0.0,0.0,0.0
18.597197,-7.2237654,0.12451027,0.063595369,-21.219999,0.34999999,17.93,31.74,1.0,0.0,0.0,0.0
19.657553,-6.1833954,0.2923978,0.0,-17.459999,0.81,19.85,34.17,1.0,0.0,0.0,0.0
19.667599,-6.127223,0.29542378,0.063595369,-17.299999,0.81999999,15.54,29.85,1.0,0.0,0.0,0.0
19.7729,-6.403759,0.16482492,0.0,-17.940001,0.44999999,22.82,37.13,1.0,0.0,0.0,0.0
