timestamps,index
1746690569.7461,2
1746690569.8006,19786
1746690569.90005,48975
1746690570.0,81480
1746690570.10005,114472
1746690570.20105,147624
1746690570.3,176914
1746690570.40005,208746
1746690570.5,237732
1746690570.6,265001
1746690570.7008,297747
1746690570.8001,327927
1746690570.901,367963
1746690571.0,395974
1746690571.10005,422847
1746690571.201,452619
1746690571.30125,481640
1746690571.4003,511794
1746690571.5,542159
1746690571.60015,571716
1746690571.70115,605766
1746690571.8,631840
1746690571.90005,664058
1746690572.0,697798
1746690572.1002,727088
1746690572.2,753664
1746690572.3011,784784
1746690572.40005,818527
1746690572.5,848582
1746690572.6002,880886
1746690572.70005,911526
1746690572.8001,939940
1746690572.9001,970404
1746690573.0001,997739
1746690573.10085,1024532
1746690573.2005,1047330
1746690573.30115,1075850
1746690573.4012,1109895
1746690573.5,1133759
1746690573.6001,1166628
1746690573.7,1195749
1746690573.80005,1224839
1746690573.90085,1253181
1746690574.00005,1281459
1746690574.10005,1309758
1746690574.2012,1344185
1746690574.3002,1369776
1746690574.40005,1396177
1746690574.5,1425659
1746690574.60015,1454669
1746690574.7002,1479894
1746690574.80005,1509496
1746690574.90005,1537416
1746690575.0,1570802
1746690575.1,1606666
1746690575.20005,1635991
1746690575.30115,1665474
1746690575.4001,1695840
1746690575.5,1726286
1746690575.6,1757038
1746690575.70005,1789896
1746690575.8001,1823186
1746690575.90115,1849562
1746690576.00005,1878379
1746690576.1,1906617
1746690576.2,1933405
1746690576.30055,1962303
1746690576.40075,1992961
1746690576.5,2025845
1746690576.60005,2057862
1746690576.7001,2086487
1746690576.80115,2116848
1746690576.90025,2144765
1746690577.0,2174079
1746690577.1001,2205973
1746690577.2,2236729
1746690577.30005,2272126
1746690577.40005,2303560
1746690577.5,2333816
1746690577.60005,2364963
1746690577.7,2393796
1746690577.8001,2419958
1746690577.9,2447616
1746690578.0,2482432
1746690578.1002,2512498
1746690578.20115,2540224
1746690578.3,2572735
1746690578.4001,2604826
1746690578.5,2638096
1746690578.6011,2670686
1746690578.70005,2699107
1746690578.8,2726729
1746690578.9001,2755665
1746690579.0,2782727
1746690579.10115,2809425
1746690579.2,2838241
1746690579.3,2868051
1746690579.4001,2897721
1746690579.5,2924710
1746690579.60005,2953420
1746690579.70085,2978739
