X,Y,Z,Reflectivity
110.733,-13.665,5.195,30.0
137.425,-16.947,5.708,4.0
84.591,-10.424,3.058,21.0
139.076,-17.126,4.266,16.0
165.376,-20.35,4.187,16.0
188.386,-23.168,3.758,18.0
110.781,-13.636,5.317,24.0
137.164,-16.869,5.846,13.0
84.538,-10.388,3.147,14.0
84.95,-10.431,2.698,10.0
165.211,-20.271,4.359,30.0
188.188,-23.074,3.954,23.0
136.995,-16.811,6.723,12.0
137.141,-16.814,5.992,17.0
84.715,-10.377,3.245,9.0
84.654,-10.36,2.778,22.0
165.164,-20.197,4.534,18.0
188.017,-22.974,4.151,7.0
137.005,-16.757,6.868,17.0
137.089,-16.75,6.134,11.0
84.884,-10.361,3.341,10.0
84.53,-10.308,2.863,30.0
85.798,-10.453,2.445,11.0
189.161,-23.027,4.372,10.0
118.782,-14.473,6.079,7.0
137.022,-16.678,6.274,13.0
85.442,-10.388,3.451,11.0
84.489,-10.262,2.948,32.0
84.233,-10.221,2.486,11.0
139.295,-16.886,3.363,12.0
118.742,-14.409,6.199,14.0
137.139,-16.622,6.42,11.0
85.787,-10.386,3.552,14.0
84.638,-10.235,3.04,28.0
84.201,-10.172,2.571,33.0
139.174,-16.795,3.5,18.0
118.737,-14.344,6.318,15.0
140.929,-17.004,6.738,9.0
84.284,-10.157,3.574,10.0
84.566,-10.179,3.121,25.0
84.29,-10.134,2.657,33.0
138.945,-16.686,3.631,23.0
118.513,-14.247,6.424,16.0
141.092,-16.939,6.886,6.0
84.078,-10.081,3.649,20.0
84.814,-10.156,3.214,18.0
84.406,-10.095,2.744,31.0
84.389,-10.08,2.288,9.0
62.596,-7.485,3.455,9.0
118.753,-14.181,5.911,23.0
84.048,-10.023,3.729,14.0
0.0,0.0,0.0,0.0
84.589,-10.06,2.831,30.0
84.336,-10.017,2.367,22.0
62.561,-7.439,3.513,4.0
118.739,-14.097,6.024,29.0
83.986,-9.956,3.807,17.0
83.999,-9.943,3.345,32.0
84.602,-10.001,2.912,38.0
84.215,-9.942,2.443,32.0
117.775,-13.919,6.725,11.0
118.772,-14.015,6.137,28.0
84.167,-9.916,3.892,9.0
83.901,-9.87,3.418,43.0
84.517,-9.928,2.985,31.0
84.174,-9.873,2.518,38.0
117.942,-13.85,6.841,23.0
118.919,-13.941,6.253,19.0
136.919,-16.026,6.456,13.0
83.878,-9.802,3.493,41.0
83.937,-9.794,3.04,35.0
83.879,-9.772,2.584,35.0
118.933,-13.872,7.005,11.0
118.933,-13.847,6.359,17.0
83.908,-9.752,4.031,19.0
83.86,-9.73,3.565,42.0
83.807,-9.709,3.109,40.0
83.106,-9.612,2.633,19.0
114.336,-13.239,6.834,18.0
85.122,-9.838,4.624,10.0
83.916,-9.682,4.103,34.0
84.031,-9.678,3.644,41.0
83.728,-9.627,3.175,38.0
82.899,-9.516,2.695,13.0
109.802,-12.618,6.655,27.0
84.982,-9.747,4.688,13.0
83.886,-9.603,4.171,36.0
83.995,-9.598,3.712,40.0
0.0,0.0,0.0,0.0
82.411,-9.384,2.747,17.0
109.797,-12.516,6.744,30.0
84.949,-9.665,4.755,14.0
83.994,-9.538,4.243,32.0
83.946,-9.514,3.776,55.0
83.553,-9.452,3.304,44.0
82.346,-9.299,2.808,25.0
109.782,-12.411,6.829,28.0
84.934,-9.582,4.82,7.0
84.081,-9.467,4.312,35.0
83.792,-9.416,3.833,48.0
82.571,-9.261,3.328,27.0
82.449,-9.23,2.874,37.0
109.959,-12.323,6.923,24.0
86.536,-9.677,4.976,12.0
83.926,-9.366,4.367,33.0
83.8,-9.332,3.895,41.0
82.678,-9.188,3.394,32.0
82.447,-9.144,2.935,35.0
109.927,-12.206,7.002,14.0
86.53,-9.587,5.038,15.0
83.842,-9.269,4.423,40.0
83.831,-9.248,3.957,39.0
82.577,-9.09,3.447,34.0
82.382,-9.05,2.99,32.0
116.817,-12.848,7.523,8.0
86.604,-9.503,5.102,18.0
83.729,-9.167,4.475,36.0
83.856,-9.16,4.015,36.0
82.592,-9.002,3.504,38.0
82.317,-8.953,3.043,32.0
113.333,-12.34,7.375,7.0
86.743,-9.422,5.168,16.0
83.784,-9.08,4.533,37.0
83.89,-9.07,4.072,37.0
83.272,-8.983,3.586,39.0
82.251,-8.853,3.094,34.0
111.75,-12.041,7.343,18.0
85.493,-9.189,5.149,12.0
83.888,-8.994,4.592,30.0
83.971,-8.982,4.128,34.0
82.967,-8.853,3.625,21.0
82.338,-8.766,3.148,34.0
111.742,-11.909,7.411,24.0
84.317,-8.963,5.13,14.0
84.191,-8.927,4.66,40.0
84.008,-8.885,4.181,24.0
83.412,-8.801,3.693,33.0
82.437,-8.677,3.199,35.0
112.115,-11.813,7.502,8.0
84.226,-8.851,5.173,15.0
84.145,-8.82,4.705,40.0
83.617,-8.742,4.208,34.0
81.984,-8.55,3.676,10.0
82.277,-8.56,3.238,42.0
112.121,-11.677,7.563,20.0
84.434,-8.77,5.23,12.0
83.86,-8.687,4.733,27.0
0.0,0.0,0.0,0.0
82.042,-8.454,3.721,9.0
81.956,-8.423,3.267,44.0
109.425,-11.259,7.436,32.0
84.907,-8.711,5.302,23.0
83.582,-8.552,4.759,26.0
82.614,-8.43,4.241,27.0
82.047,-8.35,3.761,14.0
82.046,-8.328,3.31,36.0
109.35,-11.11,7.484,35.0
84.897,-8.601,5.341,12.0
83.726,-8.458,4.806,26.0
82.229,-8.283,4.259,40.0
82.214,-8.259,3.805,29.0
82.161,-8.231,3.352,32.0
109.356,-10.966,7.533,40.0
84.823,-8.481,5.373,25.0
83.844,-8.358,4.849,33.0
82.281,-8.178,4.297,33.0
81.819,-8.109,3.822,34.0
0.0,0.0,0.0,0.0
109.348,-10.816,7.577,40.0
85.526,-8.434,5.453,12.0
83.483,-8.207,4.862,37.0
82.001,-8.038,4.314,33.0
81.708,-7.986,3.848,39.0
82.158,-8.007,3.416,16.0
109.394,-10.671,7.62,29.0
86.514,-8.413,5.547,11.0
83.439,-8.088,4.889,38.0
81.861,-7.911,4.335,33.0
81.803,-7.882,3.881,31.0
82.641,-7.94,3.464,17.0
109.71,-10.548,7.679,35.0
86.426,-8.282,5.57,25.0
83.49,-7.975,4.919,38.0
82.184,-7.826,4.378,27.0
82.055,-7.79,3.917,34.0
81.811,-7.743,3.454,22.0
109.946,-10.413,7.729,23.0
0.0,0.0,0.0,0.0
83.45,-7.852,4.94,35.0
0.0,0.0,0.0,0.0
82.185,-7.683,3.946,31.0
81.784,-7.622,3.475,33.0
113.41,-10.578,8.001,25.0
84.933,-7.894,5.52,22.0
83.381,-7.724,4.956,35.0
83.556,-7.714,4.495,46.0
81.964,-7.543,3.955,34.0
81.676,-7.492,3.488,33.0
112.82,-10.354,7.985,27.0
0.0,0.0,0.0,0.0
83.658,-7.625,4.99,31.0
83.738,-7.607,4.521,45.0
82.065,-7.428,3.976,41.0
81.833,-7.383,3.511,33.0
112.628,-10.168,7.992,19.0
85.664,-7.706,5.601,19.0
84.212,-7.549,5.038,29.0
83.534,-7.462,4.524,46.0
82.783,-7.37,4.023,47.0
81.756,-7.254,3.52,37.0
60.121,-5.337,4.274,2.0
84.553,-7.478,5.541,33.0
83.996,-7.403,5.036,15.0
83.236,-7.309,4.518,42.0
82.927,-7.257,4.04,37.0
81.736,-7.127,3.528,34.0
60.228,-5.254,4.289,5.0
84.545,-7.347,5.548,30.0
84.279,-7.297,5.061,15.0
83.223,-7.179,4.525,32.0
