Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.0371342,-2.2898407,-0.36582041,0.0,-48.34,-6.8000002,21.1,31.51,1.0,0.0,0.0,0.0
2.3000526,-2.7269208,-0.30438739,0.0,-50.029999,-4.8499999,21.98,31.98,1.0,0.0,0.0,0.0
2.3016009,-3.1562252,-0.30892849,0.063595369,-49.830002,-4.9400001,18.85,28.39,1.0,0.0,0.0,0.0
2.5572877,-3.3071837,-0.30566356,0.0,-50.98,-4.3000002,21.67,31.21,1.0,0.0,0.0,0.0
2.6864944,-3.3092432,-0.32630572,-0.063595369,-50.91,-4.3699999,18.04,27.58,1.0,0.0,0.0,0.0
2.6914468,-3.6296213,-0.29649895,0.0,-50.869999,-3.97,21.64,31.18,1.0,0.0,0.0,0.0
3.4653978,-3.6314549,-0.28328967,-0.063595369,-46.32,-3.23,15.34,26.13,1.0,0.0,0.0,0.0
3.4680748,-3.6213272,-0.30820957,0.0,-46.310001,-3.51,19.29,30.09,1.0,0.0,0.0,0.0
3.4709952,-3.9613154,-0.3104786,0.063595369,-46.209999,-3.54,15.57,26.71,1.0,0.0,0.0,0.0
4.3668137,-3.9600911,-0.43691716,-0.063595369,-42.209999,-4.23,41.27,52.41,1.0,87.0,0.0,0.0
4.367744,-4.9010954,-0.43585315,0.0,-42.189999,-4.2199998,46.1,56.89,1.0,100.0,0.0,0.0
4.987391,-4.9034767,0.30100185,-0.063595369,-44.5,2.46,37.34,49.1,1.0,83.0,0.0,0.0
4.9898143,-6.5362673,0.29972643,0.0,-44.5,2.45,41.65,53.42,1.0,100.0,0.0,0.0
5.0003877,-6.5295753,-0.15672438,-0.063595369,-52.580002,-1.09,26.76,39.06,1.0,0.0,0.0,0.0
5.0026894,-6.5278034,-0.17900652,0.0,-52.540001,-1.24,31.28,43.32,1.0,48.0,0.0,0.0
5.0039401,-3.0290062,-0.21599244,0.063595369,-52.52,-1.5,26.78,38.82,1.0,0.0,0.0,0.0
5.040885,-3.0299833,0.040078454,0.0,-31.0,0.38999999,43.76,54.56,1.0,100.0,0.0,0.0
5.0762568,-3.0297666,0.017166469,0.0,-30.83,0.16,46.1,56.89,1.0,100.0,0.0,0.0
5.076623,-3.0305226,0.019802995,-0.063595369,-30.82,0.19,41.27,52.41,1.0,87.0,0.0,0.0
5.0767541,-3.0354936,0.015192189,0.063595369,-30.83,0.14,41.71,52.5,1.0,87.0,0.0,0.0
5.0832996,-3.0370617,0.0087869894,0.12719074,-30.84,0.079999998,26.38,37.17,1.0,0.0,0.0,0.0
5.0850682,-5.8784208,0.037958823,-0.12719074,-30.84,0.36000001,25.4,36.87,1.0,0.0,0.0,0.0
