timestamps,index
1734357390.9571,2
1734357391.0005,11478
1734357391.10045,36657
1734357391.20045,62914
1734357391.3004,88009
1734357391.4003,114088
1734357391.50035,139536
1734357391.60035,165626
1734357391.7004,190598
1734357391.8004,216765
1734357391.9004,242036
1734357392.00045,268212
1734357392.1004,293484
1734357392.20055,319837
1734357392.30045,345020
1734357392.40055,371273
1734357392.5,397272
1734357392.6005,422333
1734357392.7006,448598
1734357392.80055,473870
1734357392.90065,500041
1734357393.00055,525220
1734357393.1006,551387
1734357393.2005,576569
1734357393.3005,602637
1734357393.4005,627837
1734357393.50045,653900
1734357393.6004,678991
1734357393.7004,705072
1734357393.80035,730166
1734357393.90045,756251
1734357394.0003,781353
1734357394.1004,807440
1734357394.2003,832622
1734357394.30025,858711
1734357394.4003,883900
1734357394.50025,909977
1734357394.6003,935268
1734357394.70025,961252
1734357394.8003,986435
1734357394.90035,1012533
1734357395.0003,1037625
1734357395.1003,1063619
1734357395.2003,1088625
1734357395.30035,1114422
1734357395.4004,1139611
1734357395.50035,1165698
1734357395.60045,1190976
1734357395.70045,1217056
1734357395.8001,1242785
1734357395.9005,1268334
1734357396.0005,1294489
1734357396.1006,1319779
1734357396.20055,1345848
1734357396.30045,1371030
1734357396.4005,1397118
1734357396.5004,1422297
1734357396.6005,1448647
1734357396.7005,1473840
1734357396.80045,1500093
1734357396.90045,1525460
1734357397.0004,1551540
1734357397.1005,1576906
1734357397.2005,1603068
1734357397.3005,1628436
1734357397.40055,1654783
1734357397.50055,1679954
1734357397.6006,1705648
1734357397.7005,1730635
1734357397.80055,1756714
1734357397.9005,1782093
1734357398.00045,1808064
1734357398.10045,1833246
1734357398.2004,1859321
1734357398.30035,1884503
1734357398.40035,1910577
1734357398.5003,1935771
1734357398.6004,1961948
1734357398.70035,1987130
1734357398.80045,2013218
1734357398.90045,2038401
1734357399.00045,2064389
1734357399.10055,2090573
1734357399.2005,2115660
1734357399.3006,2141550
1734357399.40055,2166645
1734357399.50055,2192429
1734357399.6006,2217708
1734357399.7005,2243798
1734357399.80055,2269077
1734357399.90055,2294959
1734357400.00055,2320057
1734357400.10055,2346232
1734357400.2005,2371414
1734357400.30055,2397593
1734357400.4006,2422678
1734357400.50055,2448755
1734357400.60055,2473947
1734357400.70055,2500024
1734357400.8006,2525207
1734357400.9006,2551114
