X,Y,Z,Reflectivity
111.141,0.02,1.235,14.0
95.673,0.019,0.503,3.0
73.518,0.016,-0.044,0.0
49.71,0.012,-0.325,0.0
38.161,0.01,-0.473,0.0
31.102,0.009,-0.568,0.0
111.125,0.032,0.997,7.0
95.619,0.029,0.297,5.0
0.0,0.0,0.0,0.0
45.376,0.015,-0.394,3.0
0.0,0.0,0.0,0.0
29.471,0.011,-0.601,0.0
110.623,0.04,0.753,7.0
0.0,0.0,0.0,0.0
50.689,0.019,-0.248,1.0
40.929,0.016,-0.444,0.0
32.401,0.013,-0.541,0.0
27.759,0.011,-0.626,0.0
95.681,0.038,0.447,4.0
0.0,0.0,0.0,0.0
45.757,0.019,-0.322,0.0
37.874,0.016,-0.493,0.0
30.975,0.013,-0.584,0.0
26.307,0.011,-0.65,0.0
92.522,0.037,0.232,1.0
50.619,0.02,-0.169,0.0
45.315,0.018,-0.417,2.0
35.184,0.014,-0.533,0.0
29.227,0.011,-0.613,0.0
24.83,0.01,-0.667,0.0
0.0,0.0,0.0,0.0
50.526,0.018,-0.277,1.0
39.763,0.014,-0.451,0.0
0.0,0.0,0.0,0.0
27.125,0.009,-0.628,0.0
23.582,0.007,-0.684,0.0
0.0,0.0,0.0,0.0
45.783,0.012,-0.349,1.0
37.225,0.01,-0.502,0.0
30.032,0.007,-0.584,0.0
25.348,0.006,-0.641,0.0
22.449,0.005,-0.699,0.0
50.721,0.008,-0.199,2.0
44.901,0.007,-0.439,0.0
0.0,0.0,0.0,0.0
28.236,0.003,-0.609,0.0
24.746,0.002,-0.679,0.0
21.322,0.002,-0.71,0.0
0.0,0.0,0.0,0.0
38.384,0.0,-0.457,0.0
31.649,0.0,-0.562,0.0
0.0,0.0,0.0,0.0
23.233,-0.001,-0.687,0.0
20.571,-0.001,-0.729,0.0
45.509,-0.007,-0.373,3.0
36.609,-0.007,-0.513,0.0
0.0,0.0,0.0,0.0
25.16,-0.006,-0.65,0.0
