Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.4928935,-1.0447483,-0.30024496,0.0,-22.73,-6.3299999,31.16,41.16,1.0,7.0,0.0,0.0
2.6452248,-1.1552885,-0.3150427,0.0,-22.110001,-6.29,33.54,43.09,1.0,10.0,0.0,0.0
3.4233365,-1.1520805,-0.29101565,-0.063595369,-18.639999,-4.5999999,30.12,39.66,1.0,0.0,0.0,0.0
3.4291337,-1.1447253,-0.29422075,0.0,-18.57,-4.6399999,34.0,44.0,1.0,24.0,0.0,0.0
3.4345114,5.1159363,-0.29469323,0.063595369,-18.43,-4.6500001,29.15,39.57,1.0,0.0,0.0,0.0
7.2612896,5.1171598,-0.39322516,0.063595369,35.16,-2.53,26.91,38.37,1.0,0.0,0.0,0.0
7.265698,5.1212687,-0.38151073,0.0,35.150002,-2.45,31.28,42.74,1.0,95.0,0.0,0.0
7.2668118,5.410254,-0.37404072,-0.063595369,35.169998,-2.4000001,27.1,38.56,1.0,0.0,0.0,0.0
9.0079594,5.4043713,-0.33261654,-0.063595369,30.98,-1.8099999,25.04,37.35,1.0,0.0,0.0,0.0
9.0211163,5.4957843,-0.3320345,0.0,30.92,-1.8,29.35,41.65,1.0,20.0,0.0,0.0
9.2031612,5.476634,-0.31972241,-0.063595369,30.84,-1.7,24.18,36.22,1.0,0.0,0.0,0.0
9.2181082,5.4696298,-0.31186944,0.0,30.709999,-1.66,28.72,40.76,1.0,0.0,0.0,0.0
9.2248039,7.3988671,-0.32272831,0.063595369,30.66,-1.72,24.45,36.49,1.0,0.0,0.0,0.0
10.203751,7.39955,-0.24119371,0.0,35.939999,-1.09,26.11,37.87,1.0,6.0,0.0,0.0
10.205159,7.3961892,-0.27509499,0.063595369,35.939999,-1.25,22.12,33.88,1.0,0.0,0.0,0.0
10.206209,5.9722977,-0.26562002,-0.063595369,35.919998,-1.2,21.95,33.71,1.0,0.0,0.0,0.0
10.232888,5.9626102,-0.29225096,0.063595369,30.26,-1.41,24.34,36.9,1.0,0.0,0.0,0.0
10.235599,5.9686575,-0.28646317,0.0,30.219999,-1.38,28.61,41.16,1.0,0.0,0.0,0.0
10.241787,4.6478105,-0.27534819,-0.063595369,30.23,-1.33,24.33,36.88,1.0,0.0,0.0,0.0
10.552635,-1.5556412,-0.41988921,0.0,23.77,-2.0799999,33.27,45.32,1.0,52.0,0.0,0.0
11.251221,-1.54996,-0.45531422,0.063595369,-7.8699999,-2.29,33.01,45.57,1.0,60.0,0.0,0.0
11.251777,-1.5547345,-0.45001465,-0.063595369,-7.8400002,-2.26,33.35,45.66,1.0,17.0,0.0,0.0
11.251907,-1.5562741,-0.4543578,0.0,-7.8600001,-2.29,37.46,50.01,1.0,94.0,0.0,0.0
11.297853,-1.5571223,-0.46554855,-0.12719074,-7.8400002,-2.3299999,22.22,33.36,1.0,0.0,0.0,0.0
11.302008,-1.5591288,-0.44865969,-0.063595369,-7.8400002,-2.25,36.35,47.81,1.0,40.0,0.0,0.0
11.303419,-1.5596682,-0.44867676,0.0,-7.8499999,-2.25,40.49,52.25,1.0,100.0,0.0,0.0
11.303509,-1.5596682,-0.45039058,0.063595369,-7.8499999,-2.26,35.78,47.82,1.0,68.0,0.0,0.0
11.418899,-1.6026016,-0.44518691,0.063595369,-7.98,-2.21,28.84,40.88,1.0,0.0,0.0,0.0
11.418975,-1.5994042,-0.44533682,-0.063595369,-7.9699998,-2.21,28.51,40.82,1.0,0.0,0.0,0.0
11.419031,-1.5994606,-0.4289318,0.0,-7.9699998,-2.1300001,33.27,45.32,1.0,52.0,0.0,0.0
12.048141,4.6179285,-0.32494909,0.063595369,20.969999,-1.4400001,20.18,32.97,1.0,0.0,0.0,0.0
12.049611,4.6160407,-0.3224695,0.0,20.959999,-1.4299999,24.8,37.11,1.0,0.0,0.0,0.0
12.052781,4.6072655,-0.31665066,-0.063595369,20.91,-1.4,20.95,32.99,1.0,0.0,0.0,0.0
13.817563,4.6848531,-0.42751172,0.0,18.719999,-1.67,24.68,37.69,1.0,0.0,0.0,0.0
14.268181,15.189124,1.5363752,0.0,46.790001,4.21,24.76,38.74,1.0,0.0,0.0,0.0
14.268421,15.191576,1.5299104,0.063595369,46.790001,4.1900001,20.59,34.57,1.0,0.0,0.0,0.0
14.997292,-9.0258141,1.3001329,-0.12719074,-31.040001,4.2399998,15.42,28.43,1.0,0.0,0.0,0.0
15.029459,-9.0157032,1.1420981,0.12719074,-30.950001,3.72,15.0,28.01,1.0,0.0,0.0,0.0
15.03277,-9.0298166,1.2453667,-0.063595369,-30.99,4.0599999,29.96,42.97,1.0,31.0,0.0,0.0
15.035385,-9.0243273,1.232193,0.0,-30.969999,4.0100002,34.58,47.37,1.0,91.0,0.0,0.0
15.037005,-9.0222702,1.2147321,0.063595369,-30.959999,3.96,30.17,42.96,1.0,19.0,0.0,0.0
15.073572,-9.0257311,1.3426683,-0.063595369,-30.91,4.3699999,31.94,45.17,1.0,54.0,0.0,0.0
15.075668,-9.0221691,1.3294914,0.0,-30.889999,4.3200002,36.09,49.51,1.0,100.0,0.0,0.0
15.07805,-9.046814,1.431559,-0.12719074,-30.959999,4.6500001,17.49,30.71,1.0,0.0,0.0,0.0
