timestamps,index
1746685529.5248,2
1746685529.6003,23831
1746685529.70005,53962
1746685529.8,77475
1746685529.9003,108535
1746685530.0001,140406
1746685530.10005,168461
1746685530.20035,198899
1746685530.30025,229454
1746685530.40005,258416
1746685530.50015,284740
1746685530.60045,315867
1746685530.70055,342747
1746685530.8003,374546
1746685530.9002,399785
1746685531.0004,426020
1746685531.1003,456905
1746685531.2004,486642
1746685531.3001,513242
1746685531.40025,543555
1746685531.5005,570928
1746685531.6002,598914
1746685531.70045,627370
1746685531.80005,659156
1746685531.9003,688164
1746685532.00005,715011
1746685532.10035,746436
1746685532.20025,774921
1746685532.3004,803826
1746685532.40045,826315
1746685532.5002,852513
1746685532.60045,879647
1746685532.7004,905178
1746685532.80055,935496
1746685532.90035,967930
1746685533.00035,995258
1746685533.10045,1025859
1746685533.2003,1050136
1746685533.3004,1081129
1746685533.40015,1110046
1746685533.50025,1136711
1746685533.6004,1167089
1746685533.7,1193340
1746685533.80045,1222086
1746685533.90015,1246389
1746685534.0002,1273082
1746685534.1006,1302819
1746685534.2003,1332898
1746685534.3004,1367085
1746685534.4004,1398146
1746685534.50025,1427686
1746685534.60045,1457186
1746685534.70045,1484415
1746685534.80045,1510911
1746685534.9005,1540549
1746685535.0004,1569864
1746685535.1005,1596788
1746685535.20025,1623287
1746685535.30045,1650902
1746685535.40035,1679915
1746685535.50045,1707914
1746685535.60035,1737807
1746685535.70055,1766094
1746685535.80045,1794636
1746685535.90015,1827011
1746685536.00015,1855737
1746685536.1003,1884010
1746685536.20055,1909015
1746685536.3,1940149
1746685536.4005,1971054
1746685536.5005,1999013
1746685536.60035,2031265
1746685536.70035,2060476
1746685536.8005,2090508
1746685536.90045,2115349
1746685537.00035,2144597
1746685537.10045,2174480
1746685537.20045,2202174
1746685537.3004,2232929
1746685537.4005,2260136
1746685537.5005,2287402
1746685537.60025,2314994
1746685537.7001,2343352
1746685537.8002,2372026
1746685537.9003,2406274
1746685538.0001,2437573
1746685538.10035,2465724
1746685538.2004,2493325
1746685538.30035,2518286
1746685538.40025,2551117
1746685538.5005,2583723
1746685538.60045,2613002
1746685538.7003,2642498
1746685538.80055,2672428
1746685538.9,2703771
1746685539.0006,2736319
1746685539.1006,2767264
1746685539.2002,2800299
1746685539.3003,2827470
1746685539.4003,2855092
1746685539.5,2881003
