X,Y,Z,Reflectivity
39.427,4.454,-0.082,15.0
35.029,3.952,-0.272,9.0
28.794,3.244,-0.387,8.0
17.998,2.025,-0.346,13.0
17.396,1.955,-0.434,16.0
17.017,1.911,-0.521,16.0
39.052,4.368,-0.115,15.0
34.431,3.846,-0.297,10.0
28.226,3.148,-0.404,7.0
17.908,1.995,-0.36,9.0
17.413,1.937,-0.449,14.0
17.011,1.89,-0.535,18.0
38.061,4.213,-0.144,14.0
33.073,3.656,-0.312,10.0
27.226,3.005,-0.412,7.0
17.83,1.965,-0.373,10.0
17.477,1.924,-0.464,17.0
17.054,1.875,-0.55,14.0
37.834,4.143,-0.173,22.0
32.061,3.505,-0.329,9.0
26.485,2.891,-0.422,6.0
17.972,1.959,-0.39,12.0
17.512,1.907,-0.479,17.0
17.073,1.856,-0.564,16.0
37.98,4.112,-0.204,14.0
31.168,3.369,-0.344,9.0
25.638,2.767,-0.428,6.0
18.036,1.944,-0.405,14.0
17.533,1.887,-0.493,17.0
17.055,1.833,-0.577,17.0
38.091,4.076,-0.233,16.0
30.582,3.267,-0.36,9.0
25.307,2.699,-0.441,6.0
18.009,1.918,-0.418,12.0
17.562,1.867,-0.507,16.0
17.043,1.81,-0.589,15.0
37.495,3.963,-0.256,13.0
30.189,3.186,-0.377,8.0
24.898,2.623,-0.452,6.0
18.044,1.898,-0.431,13.0
17.589,1.847,-0.52,17.0
17.061,1.789,-0.601,16.0
0.0,0.0,0.0,0.0
29.375,3.061,-0.388,8.0
24.665,2.565,-0.465,9.0
18.151,1.885,-0.446,12.0
17.616,1.826,-0.533,17.0
17.083,1.768,-0.614,16.0
34.723,3.577,-0.285,8.0
28.767,2.958,-0.399,8.0
24.36,2.5,-0.475,6.0
18.237,1.869,-0.46,14.0
17.638,1.804,-0.545,17.0
17.23,1.76,-0.63,15.0
32.843,3.338,-0.29,2.0
28.08,2.848,-0.407,7.0
24.019,2.432,-0.484,5.0
18.31,1.85,-0.474,14.0
17.646,1.78,-0.557,17.0
17.311,1.743,-0.644,13.0
33.523,3.358,-0.317,11.0
27.446,2.744,-0.414,7.0
23.571,2.352,-0.489,9.0
18.397,1.832,-0.487,13.0
17.723,1.762,-0.569,16.0
17.367,1.723,-0.656,11.0
32.471,3.206,-0.326,10.0
26.811,2.641,-0.42,6.0
23.236,2.285,-0.495,5.0
18.478,1.813,-0.5,12.0
17.845,1.748,-0.583,15.0
17.444,1.705,-0.669,18.0
31.588,3.071,-0.334,9.0
26.444,2.566,-0.429,6.0
22.919,2.219,-0.501,5.0
18.646,1.802,-0.514,15.0
17.945,1.73,-0.596,14.0
17.462,1.68,-0.679,7.0
31.12,2.979,-0.346,9.0
26.053,2.488,-0.436,6.0
22.65,2.158,-0.506,5.0
18.801,1.788,-0.528,18.0
17.973,1.705,-0.606,14.0
17.198,1.628,-0.677,1.0
30.918,2.911,-0.358,9.0
25.639,2.409,-0.441,6.0
22.4,2.099,-0.511,4.0
19.043,1.781,-0.544,11.0
17.932,1.673,-0.613,13.0
16.945,1.578,-0.675,1.0
30.569,2.83,-0.368,9.0
25.428,2.348,-0.449,6.0
22.211,2.046,-0.517,4.0
19.396,1.783,-0.562,5.0
18.113,1.661,-0.627,12.0
16.915,1.548,-0.681,1.0
29.771,2.708,-0.371,8.0
25.208,2.287,-0.456,6.0
22.034,1.994,-0.522,4.0
19.298,1.743,-0.567,7.0
18.144,1.634,-0.635,3.0
16.828,1.512,-0.684,1.0
29.622,2.646,-0.381,8.0
25.013,2.229,-0.462,6.0
21.905,1.947,-0.527,5.0
19.233,1.705,-0.573,6.0
17.829,1.577,-0.631,2.0
16.814,1.483,-0.689,1.0
29.412,2.579,-0.388,8.0
24.859,2.174,-0.467,11.0
19.707,1.719,-0.481,6.0
19.009,1.654,-0.572,10.0
17.75,1.54,-0.634,2.0
16.738,1.449,-0.691,1.0
29.21,2.513,-0.395,8.0
24.74,2.122,-0.473,5.0
19.696,1.685,-0.486,9.0
18.833,1.607,-0.572,11.0
17.711,1.507,-0.637,1.0
16.721,1.419,-0.695,1.0
28.886,2.436,-0.398,8.0
24.585,2.067,-0.477,5.0
19.705,1.652,-0.492,8.0
18.908,1.58,-0.58,12.0
17.667,1.473,-0.64,2.0
16.692,1.388,-0.698,1.0
28.879,2.385,-0.405,8.0
24.527,2.019,-0.481,5.0
19.706,1.618,-0.497,8.0
19.034,1.558,-0.588,9.0
17.563,1.434,-0.641,1.0
16.682,1.358,-0.702,1.0
28.61,2.313,-0.408,8.0
24.345,1.962,-0.483,5.0
19.706,1.584,-0.5,9.0
19.116,1.532,-0.594,3.0
17.549,1.402,-0.643,2.0
16.684,1.329,-0.705,1.0
28.401,2.246,-0.41,8.0
24.402,1.924,-0.488,5.0
19.708,1.548,-0.503,8.0
18.975,1.486,-0.592,3.0
17.555,1.371,-0.646,2.0
16.666,1.298,-0.706,1.0
28.257,2.185,-0.411,7.0
24.372,1.878,-0.49,7.0
19.705,1.513,-0.506,9.0
18.997,1.454,-0.595,3.0
17.526,1.338,-0.647,1.0
16.67,1.268,-0.708,1.0
28.428,2.147,-0.416,8.0
24.437,1.839,-0.494,5.0
19.704,1.478,-0.507,8.0
18.93,1.415,-0.595,3.0
17.48,1.302,-0.646,2.0
16.661,1.237,-0.708,1.0
