Point_X (m),Point_Y (m),Point_Z (m),Point_V (m/s),Point_azimuth (deg),Point_elevation (deg),Point_snr (dB),Point_Power (dB),Point_Valid (-),Point_Probability (-),Point_Mstate (-),Point_Class (-)
2.1244414,2.2180369,-0.30195084,0.0,46.23,-5.6100001,28.96,39.75,1.0,73.0,0.0,0.0
2.3176434,2.4743567,-0.32046026,0.0,46.810001,-5.4000001,29.83,40.25,1.0,46.0,0.0,0.0
2.3239458,2.1529281,-0.3994869,-0.063595369,46.790001,-6.71,25.64,36.05,1.0,0.0,0.0,0.0
2.6032457,2.1622071,-0.27986202,0.063595369,39.59,-4.73,26.44,36.85,1.0,0.0,0.0,0.0
2.6100471,2.1745443,-0.28861961,0.0,39.630001,-4.8600001,29.83,40.25,1.0,46.0,0.0,0.0
2.6195612,2.2952616,-0.30333155,-0.063595369,39.689999,-5.0900002,25.64,36.05,1.0,0.0,0.0,0.0
2.7445438,2.3072317,-0.26580447,0.063595369,39.900002,-4.2399998,28.46,38.46,1.0,0.0,0.0,0.0
2.753582,2.3163831,-0.27642402,0.0,39.950001,-4.4000001,32.24,42.65,1.0,43.0,0.0,0.0
2.7608275,-6.8022938,-0.29340628,-0.063595369,39.990002,-4.6500001,28.86,39.28,1.0,0.0,0.0,0.0
3.9197176,-6.9316692,-0.36122996,0.063595369,-60.040001,-2.6300001,24.08,35.84,1.0,0.0,0.0,0.0
3.9332283,-6.7890978,-0.45518211,-0.12719074,-60.419998,-3.26,19.75,32.3,1.0,0.0,0.0,0.0
3.9474258,-6.7849612,-0.36842772,0.0,-59.82,-2.6800001,27.83,39.59,1.0,0.0,0.0,0.0
3.9474521,-6.9028955,-0.39280042,-0.063595369,-59.799999,-2.8599999,23.22,34.98,1.0,0.0,0.0,0.0
3.9748645,-7.0002313,-0.45947123,0.12719074,-60.060001,-3.3,20.86,32.62,1.0,0.0,0.0,0.0
3.9748962,-6.9738755,-0.42555532,0.12719074,-60.41,-3.02,20.17,32.73,1.0,0.0,0.0,0.0
4.0033498,-6.9746737,-0.43298385,0.063595369,-60.139999,-3.0799999,35.03,47.58,1.0,53.0,0.0,0.0
4.0082369,-6.969254,-0.43702927,-0.063595369,-60.110001,-3.0999999,35.78,47.54,1.0,70.0,0.0,0.0
4.0125809,-6.8919921,-0.43577686,0.0,-60.060001,-3.0999999,39.9,51.94,1.0,100.0,0.0,0.0
4.0304704,-6.892673,-0.45098421,0.063595369,-59.68,-3.23,35.65,47.41,1.0,39.0,0.0,0.0
4.0375757,-6.8890891,-0.45670423,-0.063595369,-59.630001,-3.27,34.86,47.16,1.0,46.0,0.0,0.0
4.0398774,2.0114322,-0.45062527,0.0,-59.610001,-3.22,39.66,51.7,1.0,100.0,0.0,0.0
4.3036246,1.9842526,-0.24828541,0.063595369,25.049999,-2.99,26.99,36.99,1.0,0.0,0.0,0.0
4.4881425,1.9881487,-0.27467531,0.0,23.85,-3.2,28.46,38.01,1.0,0.0,0.0,0.0
4.4949274,1.9779242,-0.31692183,0.063595369,23.860001,-3.6800001,25.16,34.19,1.0,0.0,0.0,0.0
4.4982867,-6.5816746,-0.24658281,-0.063595369,23.73,-2.8699999,23.28,33.7,1.0,0.0,0.0,0.0
4.6208925,-6.5822697,-0.42205477,0.063595369,-54.919998,-3.0,35.03,47.58,1.0,53.0,0.0,0.0
4.6210575,-6.5822697,-0.42515427,0.0,-54.919998,-3.02,39.9,51.94,1.0,100.0,0.0,0.0
